symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,days,
SUNTECK,10-06-2024,22-07-2024,524.75,609.75,212,18020,42,
RCF,10-06-2024,25-06-2024,168.1,189.18,716,15093.28,15,
RCF,10-06-2024,20-06-2024,168.1,222.26,224,12131.84,10,
SUNTECK,10-06-2024,16-07-2024,524.75,630.05,92,9687.6,36,
DBCORP,10-06-2024,22-07-2024,306.8,349.6,198,8474.4,42,
JKPAPER,10-06-2024,14-06-2024,419.4,490.8,116,8282.4,4,
DBCORP,10-06-2024,10-07-2024,306.8,384.85,88,6868.4,30,
3MINDIA,18-06-2024,30-07-2024,37068.55,39600.65,3,7596.3,42,
JUBLFOOD,18-06-2024,30-07-2024,550.85,580,209,6092.35,42,
RKFORGE,24-06-2024,05-08-2024,896.8,844.8,81,-4212,42,
ORIENTCEM,01-07-2024,12-08-2024,314.15,340.7,275,7301.25,42,
PERSISTENT,08-07-2024,19-08-2024,4586.3,4874.5,33,9510.6,42,
NIACL,08-07-2024,13-08-2024,275.82,238.8,335,-12401.7,36,
BAJAJHLDNG,08-07-2024,05-08-2024,9905.15,9121.4,17,-13323.75,28,
PCJEWELLER,15-07-2024,26-08-2024,7.07,11.98,10054,49365.14,42,
PCJEWELLER,15-07-2024,26-07-2024,7.07,8.58,4588,6927.88,11,
APLLTD,29-07-2024,09-08-2024,1239.05,1130.35,127,-13804.9,11,
SHK,26-08-2024,07-10-2024,237.77,293.85,717,40209.36,42,
EDELWEISS,26-08-2024,23-09-2024,109.85,140.63,564,17359.92,28,
SHK,26-08-2024,24-09-2024,237.77,300.42,248,15537.2,29,
EDELWEISS,26-08-2024,07-10-2024,109.85,115.4,1529,8485.95,42,
BAJAJFINSV,02-09-2024,08-10-2024,1840.55,1838.15,185,-444,36,
NH,09-09-2024,17-09-2024,1377,1283.85,148,-13786.2,8,
PTC,16-09-2024,19-09-2024,242.16,214.65,568,-15625.68,3,
TATAPOWER,30-09-2024,07-10-2024,482.6,441.3,391,-16148.3,7,
VAKRANGEE,30-09-2024,04-10-2024,35.73,30.71,5059,-25396.18,4,
CARERATING,14-10-2024,25-11-2024,1213.6,1477.25,178,46929.7,42,
CARERATING,14-10-2024,24-10-2024,1213.6,1407,83,16052.2,10,
ABB,14-10-2024,23-10-2024,8570.5,7703.8,29,-25134.3,9,
ASHOKA,09-12-2024,20-01-2025,284.61,285.25,728,465.92,42,
INDOSTAR,09-12-2024,30-12-2024,315.35,273.65,232,-9674.4,21,
LT,09-12-2024,20-12-2024,3947.3,3629.85,50,-15872.5,11,
NAVINFLUOR,09-12-2024,30-12-2024,3533.1,3217.5,57,-17989.2,21,
BANKBARODA,09-12-2024,20-12-2024,254.17,232.57,871,-18813.6,11,
SBIN,09-12-2024,27-12-2024,858.05,799.65,448,-26163.2,18,
ITI,16-12-2024,09-01-2025,373,440.4,129,8694.6,24,
ITI,16-12-2024,06-01-2025,373,544.35,37,6339.95,21,
ZENSARTECH,16-12-2024,23-12-2024,811.35,741.45,86,-6011.4,7,
BEML,16-12-2024,26-12-2024,2228.8,2005.6,29,-6472.8,10,
LEMONTREE,16-12-2024,10-01-2025,149.73,140.35,712,-6678.56,25,
COROMANDEL,24-03-2025,05-05-2025,1986,2228.2,71,17196.2,42,
M&MFIN,24-03-2025,02-04-2025,278.3,255.05,638,-14833.5,9,
GODREJIND,24-03-2025,04-04-2025,1237.65,1079.4,158,-25003.5,11,
TATASTEEL,24-03-2025,04-04-2025,154.81,137.19,1924,-33900.88,11,
HINDALCO,24-03-2025,04-04-2025,701.5,599.95,337,-34222.35,11,
GODFRYPHLP,01-04-2025,13-05-2025,2369,2998,24,15096,42,
HDFCBANK,01-04-2025,13-05-2025,883.9,961.3,113,8746.2,42,
MAHSCOOTER,01-04-2025,13-05-2025,10686.2,11536,9,7648.2,42,
ICICIBANK,01-04-2025,13-05-2025,1318.45,1430.6,61,6841.15,42,
HDFCBANK,01-04-2025,22-04-2025,883.9,980.8,47,4554.3,21,
ICICIBANK,01-04-2025,02-05-2025,1318.45,1432.4,30,3418.5,31,
MARICO,15-04-2025,27-05-2025,711.85,715.65,202,767.6,42,
GRASIM,15-04-2025,27-05-2025,2718.6,2614.2,78,-8143.2,42,
BSE,21-04-2025,02-06-2025,2095,2693.3,24,14359.2,42,
QUESS,21-04-2025,02-06-2025,337.22,306.64,297,-9082.26,42,
AXISBANK,21-04-2025,09-05-2025,1223,1151.1,130,-9347,18,
CEATLTD,05-05-2025,16-06-2025,3430.9,3638.8,33,6860.7,42,
THYROCARE,12-05-2025,23-06-2025,317.9,329.8,362,4307.8,42,
CARERATING,19-05-2025,30-06-2025,1540.4,1788.2,53,13133.4,42,
INTELLECT,19-05-2025,30-06-2025,1062.15,1148.9,127,11017.25,42,
CCL,19-05-2025,30-06-2025,758.15,849.55,111,10145.4,42,
CARERATING,19-05-2025,30-05-2025,1540.4,1796,26,6645.6,11,
BIRLACORPN,19-05-2025,20-06-2025,1407.5,1266,91,-12876.5,32,
SHILPAMED,02-06-2025,14-07-2025,442.8,452.95,256,2598.4,42,
CDSL,02-06-2025,14-07-2025,1682.9,1677.4,103,-566.5,42,
FSL,02-06-2025,14-07-2025,369.75,341.15,194,-5548.4,42,
PFIZER,02-06-2025,14-07-2025,5623.5,5411,28,-5950,42,
WOCKPHARMA,16-06-2025,28-07-2025,1803.9,1682.9,47,-5687,42,
TIMETECHNO,23-06-2025,04-08-2025,222.25,229.7,482,3590.9,42,
HCLTECH,23-06-2025,15-07-2025,1703.2,1566.4,93,-12722.4,22,
PCJEWELLER,14-07-2025,25-07-2025,17.02,14.55,9395,-23205.65,11,
BAJFINANCE,15-09-2025,27-10-2025,1009.85,1084.4,292,21768.6,42,
YESBANK,15-09-2025,27-10-2025,21.01,22.77,7636,13439.36,42,
YESBANK,15-09-2025,10-10-2025,21.01,24,3055,9134.45,25,
NLCINDIA,15-09-2025,27-10-2025,261.92,260.5,1164,-1652.88,42,
DBL,15-09-2025,26-09-2025,560.75,508.95,308,-15954.4,11,
ASTRAZEN,06-10-2025,17-11-2025,9414.5,9140,11,-3019.5,42,
PGHH,06-10-2025,24-10-2025,14380,13552,13,-10764,18,
HINDZINC,06-10-2025,06-11-2025,491.5,467.2,446,-10837.8,31,
CANFINHOME,13-10-2025,24-11-2025,801.35,890.2,44,3909.4,42,
CANFINHOME,13-10-2025,18-11-2025,801.35,906.8,21,2214.45,36,
CHOLAFIN,13-10-2025,24-11-2025,1647.2,1651.7,65,292.5,42,
APLAPOLLO,13-10-2025,24-11-2025,1742.2,1716.2,54,-1404,42,
MOIL,13-10-2025,18-11-2025,378,343.5,131,-4519.5,36,
FEDERALBNK,27-10-2025,08-12-2025,234.04,257.45,826,19336.66,42,
FEDERALBNK,27-10-2025,02-12-2025,234.04,258.45,406,9910.46,36,
MRPL,27-10-2025,11-11-2025,146.63,174.67,272,7626.88,15,
MRPL,27-10-2025,27-11-2025,146.63,156.93,587,6046.1,31,
KOTAKBANK,27-10-2025,08-12-2025,429.7,426.3,393,-1336.2,42,
CESC,27-10-2025,24-11-2025,180.12,167.4,807,-10265.04,28,
REDINGTON,10-11-2025,22-12-2025,287.5,274.85,269,-3402.85,42,
CHOLAHLDNG,17-11-2025,24-11-2025,1972.9,1826.3,50,-7330,7,
KTKBANK,24-11-2025,15-12-2025,198.84,199.99,1646,1892.9,21,
BERGEPAINT,24-11-2025,08-12-2025,579.3,539.1,345,-13869,14,
TECHM,15-12-2025,27-01-2026,1575.4,1745.1,188,31903.6,43,
TECHM,15-12-2025,27-01-2026,1575.4,1745.1,87,14763.9,43,
AJANTPHARM,15-12-2025,01-01-2026,2642.1,2938.4,37,10963.1,17,
AJANTPHARM,15-12-2025,16-01-2026,2642.1,2680.9,81,3142.8,32,
COROMANDEL,22-12-2025,02-02-2026,2395.7,2215.6,72,-12967.2,42,
SUPRAJIT,29-12-2025,21-01-2026,470.35,431.05,293,-11514.9,23,
GLENMARK,05-01-2026,02-02-2026,2039.2,1920.4,98,-11642.4,28,
VTL,09-02-2026,23-03-2026,507.05,538.8,576,18288,42,
ABB,09-02-2026,23-03-2026,5815.5,6041.5,52,11752,42,
TIMKEN,09-02-2026,13-02-2026,3287.1,3062.8,69,-15476.7,4,
LINDEINDIA,16-02-2026,30-03-2026,6768,6844,30,2280,42,
BLUESTARCO,16-02-2026,04-03-2026,1975.4,1843.6,81,-10675.8,16,
PTC,16-02-2026,04-03-2026,172.95,157.3,718,-11236.7,16,
MAHLOG,16-02-2026,13-03-2026,403.55,368.85,466,-16170.2,25,
GRINDWELL,23-02-2026,05-03-2026,1687.7,1571.2,34,-3961,10,
BANDHANBNK,23-02-2026,16-03-2026,173.65,162.54,599,-6654.89,21,
EDELWEISS,23-02-2026,04-03-2026,123.18,107.79,462,-7110.18,9,
